,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU12_r,clip_id,label,source_id,appraisal
0,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.15624999999999997,-0.36771579931442805,0.0,0.0,Art6_S2,1,Art6,Appreciation
1,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.33593750000000006,-0.2056715487690869,0.0,0.0,Art6_S2,1,Art6,Appreciation
2,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.5,-0.0810221252726706,0.0,0.0,Art6_S2,1,Art6,Appreciation
3,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.6796875,0.1932066064194453,0.0,0.0,Art6_S2,1,Art6,Appreciation
4,0.02702702702702703,0.0,-0.3333333333333333,0.0,0.7812499999999999,0.31162355874104075,0.0,0.0,Art6_S2,1,Art6,Appreciation
5,0.17567567567567569,0.0,-0.3333333333333333,0.0,0.7890624999999998,0.44873792458709866,0.0,0.0,Art6_S2,1,Art6,Appreciation
6,0.24324324324324328,0.0,-0.3333333333333333,0.0,0.734375,0.5048301651604861,0.0,0.0,Art6_S2,1,Art6,Appreciation
7,0.1891891891891892,0.0,-0.3333333333333333,0.0,0.6640625,0.38018074166406973,0.03333333333333333,0.0,Art6_S2,1,Art6,Appreciation
8,0.04054054054054054,0.0,-0.3333333333333333,0.0,0.6953125,0.24306637581801172,0.03333333333333333,0.0,Art6_S2,1,Art6,Appreciation
9,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.7109375,0.10595200997195388,0.03333333333333333,0.0,Art6_S2,1,Art6,Appreciation
10,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.7109375,0.18697413524462447,0.0,0.0,Art6_S2,1,Art6,Appreciation
11,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.6249999999999999,0.26799626051729497,0.0,0.0,Art6_S2,1,Art6,Appreciation
12,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.546875,0.28669367404175744,0.0,0.0,Art6_S2,1,Art6,Appreciation
13,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.4921875,0.14334683702087872,0.0,0.0,Art6_S2,1,Art6,Appreciation
14,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.3906249999999999,-0.01869741352446246,0.0,0.0,Art6_S2,1,Art6,Appreciation
15,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.3046875,-0.22436896229354933,0.0,0.0,Art6_S2,1,Art6,Appreciation
16,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.203125,-0.36771579931442805,0.0,0.0,Art6_S2,1,Art6,Appreciation
17,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.26562499999999994,-0.4425054534122778,0.0,0.0,Art6_S2,1,Art6,Appreciation
18,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.3125,-0.46743533811156107,0.0,0.0,Art6_S2,1,Art6,Appreciation
19,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.28125,-0.37394827048924884,0.0,0.0,Art6_S2,1,Art6,Appreciation
20,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.203125,-0.33032097226550317,0.0,0.0,Art6_S2,1,Art6,Appreciation
21,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.15624999999999997,-0.23060143346837014,0.0,0.0,Art6_S2,1,Art6,Appreciation
22,-0.02702702702702703,0.0,-0.3333333333333333,0.0,0.13281249999999994,-0.10595200997195388,0.0,0.0,Art6_S2,1,Art6,Appreciation
23,0.12162162162162161,0.07692307692307693,-0.3333333333333333,0.0,0.07031249999999997,-0.11841695232159545,0.0,0.0,Art6_S2,1,Art6,Appreciation
24,0.12162162162162161,0.07692307692307693,-0.3333333333333333,0.0,0.0,-0.17450919289498282,0.0,0.0,Art6_S2,1,Art6,Appreciation
25,0.12162162162162161,0.07692307692307693,-0.3333333333333333,0.0,-0.06250000000000006,-0.3552508569647865,0.03333333333333333,0.0,Art6_S2,1,Art6,Appreciation
26,-0.02702702702702703,0.0,-0.3333333333333333,0.0,-0.14843750000000006,-0.267996260517295,0.06666666666666667,0.0,Art6_S2,1,Art6,Appreciation
27,-0.02702702702702703,0.0,-0.3333333333333333,0.0,-0.3046875,-0.15581177937052038,0.06666666666666667,0.0,Art6_S2,1,Art6,Appreciation
28,0.05405405405405404,0.0,-0.3333333333333333,0.0,-0.44531250000000006,-0.1371143658460579,0.06666666666666667,0.0,Art6_S2,1,Art6,Appreciation
29,0.17567567567567569,0.0,-0.3333333333333333,0.0,-0.515625,-0.1620442505453412,0.0,0.0,Art6_S2,1,Art6,Appreciation
30,0.3648648648648648,0.0,-0.3333333333333333,0.0,-0.5234375,-0.2617637893424742,0.0,0.0,Art6_S2,1,Art6,Appreciation
31,0.37837837837837834,0.0,-0.3333333333333333,0.0,-0.5234375,-0.18697413524462442,0.0,0.0,Art6_S2,1,Art6,Appreciation
32,0.581081081081081,0.0,-0.3333333333333333,1.076923076923077,-0.5234375,-0.1308818946712371,0.0,0.0,Art6_S2,1,Art6,Appreciation
33,0.7027027027027027,0.0,-0.24822695035460993,2.923076923076923,-0.5234375,-0.04985976939856649,0.0,0.0,Art6_S2,1,Art6,Appreciation
34,0.9324324324324323,0.0,-0.1276595744680851,4.461538461538461,-0.5234375,-0.01869741352446246,0.0,0.0,Art6_S2,1,Art6,Appreciation
35,0.9729729729729729,0.0,0.03546099290780145,4.769230769230769,-0.5234375,-0.00623247117482082,0.0,0.0,Art6_S2,1,Art6,Appreciation
36,1.0540540540540542,0.0,0.10638297872340428,3.692307692307692,-0.5234375,0.02492988469928328,0.0,0.0,Art6_S2,1,Art6,Appreciation
37,1.0945945945945945,0.0,0.03546099290780145,3.1538461538461537,-0.5234375,-0.06855718292302895,0.0,0.0,Art6_S2,1,Art6,Appreciation
38,1.0135135135135136,0.0,0.02127659574468087,3.3076923076923075,-0.5234375,-0.17450919289498282,0.0,0.0,Art6_S2,1,Art6,Appreciation
39,0.8783783783783784,0.0,-0.035460992907801414,4.230769230769231,-0.5234375,-0.23060143346837014,0.0,0.0,Art6_S2,1,Art6,Appreciation
40,0.7567567567567567,0.0,0.014184397163120581,4.615384615384615,-0.5234375,-0.15581177937052038,0.0,0.0,Art6_S2,1,Art6,Appreciation
41,0.9864864864864865,0.19230769230769232,0.03546099290780145,3.4615384615384617,-0.5234375,-0.05609224057338731,0.0,0.0,Art6_S2,1,Art6,Appreciation
42,1.364864864864865,0.4230769230769231,0.07092198581560283,1.923076923076923,-0.5234375,-0.0810221252726706,0.0,0.0,Art6_S2,1,Art6,Appreciation
43,1.6216216216216215,0.6538461538461539,0.12765957446808515,0.4615384615384615,-0.5234375,-0.0311623558741041,0.0,0.0,Art6_S2,1,Art6,Appreciation
44,1.4054054054054055,0.8076923076923076,0.07092198581560283,0.15384615384615385,-0.5234375,-0.03739482704892492,0.0,0.0,Art6_S2,1,Art6,Appreciation
45,1.0540540540540542,0.5769230769230769,0.02127659574468087,0.4615384615384615,-0.5234375,0.09348706762231224,0.0,0.0,Art6_S2,1,Art6,Appreciation
46,0.7162162162162162,0.34615384615384615,0.02127659574468087,0.4615384615384615,-0.5234375,0.12464942349641626,0.06666666666666667,0.0,Art6_S2,1,Art6,Appreciation
47,0.5540540540540541,0.0,0.07092198581560283,0.38461538461538464,-0.5234375,0.0810221252726706,0.3666666666666667,0.0,Art6_S2,1,Art6,Appreciation
